area,budget,climate,priority,design_id,actual_cost,energy_efficiency,water_efficiency,materials_efficiency,carbon_level,payback_period_years,embodied_carbon
1430,29,hot,materials,0,186267,59,53,68,Medium,134,689
588,82,moderate,energy,0,182373,100,91,66,Low,62,668
2432,60,hot,energy,2,634226,72,76,71,Medium,117,716
350,25,moderate,energy,0,39062,76,70,48,Medium,41,486
966,62,cold,water,2,294889,69,97,67,Low,152,678
371,69,cold,water,2,132560,74,100,68,Low,147,685
461,23,moderate,materials,1,56315,66,71,69,Medium,74,695
951,78,cold,energy,2,358076,86,88,71,Low,101,712
645,95,hot,energy,2,279556,93,86,79,Low,99,795
2172,24,cold,energy,2,305734,51,68,55,Medium,1180,554
1466,21,moderate,materials,1,154335,54,75,78,Medium,228,787
1229,65,cold,energy,2,421429,72,83,79,Low,149,796
3833,36,hot,water,2,738835,33,82,60,Medium,999,608
826,61,cold,materials,0,192774,71,75,78,Low,107,789
570,40,cold,water,0,107064,62,81,51,Medium,153,515
1185,41,cold,materials,1,250986,52,69,89,Medium,1034,890
1201,65,moderate,energy,2,345727,87,97,70,Low,77,708
773,83,cold,materials,1,291965,75,85,98,Low,145,988
1024,35,cold,materials,1,167773,53,59,88,Medium,446,882
1102,70,moderate,materials,1,307560,78,89,96,Low,98,963
3767,28,cold,materials,1,554678,20,67,87,Medium,999,874
387,48,moderate,energy,2,81345,87,89,60,Low,56,600
1955,44,cold,energy,1,384120,57,61,74,Medium,256,745
448,73,hot,materials,2,148734,76,75,84,Low,126,842
967,90,moderate,materials,2,335560,84,100,95,Low,99,952
1010,21,moderate,materials,0,93439,61,67,63,Medium,83,638
1200,46,hot,materials,1,249234,60,57,88,Medium,191,885
927,43,hot,energy,1,184770,75,54,69,Medium,78,690
749,65,cold,materials,2,252572,65,80,85,Low,213,852
1631,68,cold,materials,0,467090,64,71,84,Medium,195,840
1117,32,cold,energy,1,191984,66,62,64,Medium,103,640
789,66,hot,water,2,216563,73,87,70,Low,119,704
4173,53,hot,energy,1,1013024,47,60,78,Medium,999,784
1071,56,moderate,water,1,227603,71,93,75,Low,100,752
1318,63,moderate,water,1,326442,72,98,86,Low,109,865
759,77,moderate,water,2,225744,83,100,71,Low,87,711
745,83,moderate,energy,2,246699,93,100,71,Low,76,712
853,55,hot,materials,1,197001,70,64,91,Low,114,913
941,38,cold,materials,1,162354,56,66,82,Medium,281,822
410,52,hot,water,2,109217,70,89,64,Medium,128,645
571,94,hot,water,2,245291,81,100,79,Low,136,795
2081,72,hot,energy,0,500909,79,73,68,Medium,82,682
1569,50,cold,water,2,435143,58,93,65,Medium,339,652
1462,41,moderate,materials,1,258554,65,73,92,Low,113,923
414,66,hot,materials,0,95128,78,60,73,Medium,81,733
1793,40,moderate,energy,0,292670,72,75,60,Medium,71,607
990,63,cold,water,2,326495,65,100,67,Low,214,677
1268,67,cold,energy,1,365402,76,76,82,Low,107,827
725,37,moderate,water,2,135243,69,99,59,Low,97,598
951,79,hot,energy,2,332441,87,82,76,Low,92,769
1113,29,cold,materials,2,198852,48,71,73,Medium,999,731
1001,93,cold,water,0,326497,83,97,75,Low,96,754
1539,64,moderate,energy,1,383279,78,85,85,Low,86,852
2621,40,cold,water,2,546743,39,96,62,Medium,999,622
1224,94,moderate,energy,1,385312,97,93,89,Low,66,896
1315,44,hot,water,0,259777,67,72,59,Medium,112,590
1888,63,cold,energy,1,488607,66,73,86,Low,156,860
384,69,cold,water,1,105192,66,92,80,Low,166,809
339,88,hot,water,0,113190,83,87,66,Low,98,661
1085,65,moderate,water,1,261592,76,97,78,Low,92,788
2102,84,cold,water,1,754702,59,100,89,Low,382,893
2077,56,cold,water,0,517594,58,85,65,Medium,305,651
2002,46,hot,energy,0,366993,68,54,55,Medium,100,558
2380,62,cold,energy,0,608865,70,70,70,Medium,122,700
866,55,moderate,materials,2,206675,78,90,86,Low,84,863
2303,64,hot,energy,2,691400,68,72,74,Medium,164,745
1013,33,moderate,water,2,150981,67,100,57,Medium,84,572
3871,50,hot,water,2,900878,41,87,68,Medium,999,686
1507,74,cold,water,2,494519,68,100,76,Low,175,761
1410,79,moderate,water,2,447550,76,100,76,Low,121,761
3120,75,cold,materials,2,1062092,50,85,89,Low,6209,895
837,24,hot,materials,2,122505,57,53,70,Medium,185,706
4049,55,moderate,materials,1,859295,38,80,90,Medium,999,903
1173,59,hot,energy,2,343801,78,77,68,Medium,101,681
1451,57,cold,water,2,440653,65,92,60,Medium,195,605
1196,83,hot,materials,1,432199,78,70,100,Low,124,1000
697,46,moderate,energy,2,157558,81,88,60,Low,71,600
1381,72,hot,water,1,416889,70,80,84,Low,144,845
2840,96,cold,energy,2,1091984,73,99,79,Low,161,796
676,64,cold,materials,1,184113,68,76,96,Low,146,963
1333,28,cold,energy,0,165995,66,58,56,Medium,76,562
1383,48,hot,materials,1,310494,62,63,88,Medium,180,884
550,76,cold,materials,1,172596,69,80,100,Low,159,1000
565,63,cold,water,0,141264,64,91,61,Medium,174,619
1447,49,cold,materials,2,370343,61,77,80,Medium,228,801
1236,52,cold,water,2,298294,58,97,73,Low,301,730
540,74,cold,energy,1,180361,79,73,76,Low,111,769
1461,73,cold,water,0,393699,70,93,70,Low,129,704
1495,57,moderate,water,1,381711,66,98,75,Low,151,754
2083,50,moderate,water,2,516154,64,100,67,Low,168,677
648,38,hot,materials,0,95097,66,53,66,Medium,88,663
1335,71,hot,water,0,382096,74,79,74,Low,115,740
2354,75,moderate,water,0,633207,73,100,71,Low,116,712
449,96,moderate,water,1,157258,84,100,94,Low,100,948
3348,52,hot,energy,0,642026,58,58,61,Medium,221,612
819,69,cold,water,2,264256,71,100,69,Low,150,699
2208,51,cold,water,0,511240,49,86,60,Medium,999,607
817,24,moderate,water,2,97190,66,95,55,Medium,72,553
1192,88,hot,materials,2,495705,81,79,95,Low,132,953
704,26,hot,materials,0,90619,56,52,64,Medium,212,647
775,38,cold,water,0,126318,61,79,54,Medium,146,544
628,63,moderate,materials,2,186134,78,91,85,Low,103,851
501,56,hot,energy,0,107280,85,61,62,Medium,60,627
1108,75,cold,water,1,373001,67,98,90,Low,196,903
467,91,hot,materials,1,170942,80,74,100,Low,120,1000
536,39,hot,materials,2,95907,64,64,67,Medium,121,674
990,51,moderate,energy,2,251309,82,89,59,Low,78,594
2183,66,cold,water,0,607519,60,82,68,Medium,267,689
909,40,moderate,materials,1,174451,62,73,85,Medium,148,852
524,83,moderate,water,2,171033,90,100,80,Low,81,805
351,41,moderate,energy,0,55687,85,71,55,Medium,44,559
4798,31,hot,energy,2,780920,33,64,63,High,999,631
1287,28,hot,materials,2,177986,53,60,72,Medium,383,723
886,55,hot,water,0,206171,71,70,63,Medium,106,636
1022,100,cold,water,1,420299,78,100,87,Low,143,878
1467,24,hot,materials,1,175267,51,50,83,Medium,716,834
1185,77,moderate,materials,0,338158,93,89,90,Low,66,900
2205,74,cold,materials,1,715500,57,79,100,Low,441,1000
334,47,cold,water,2,80308,62,96,61,Medium,198,612
3442,75,cold,materials,1,1060900,50,84,100,Low,88405,1000
1215,49,hot,water,2,268056,69,83,68,Medium,112,685
750,45,cold,materials,0,150961,64,67,73,Medium,139,736
1895,85,hot,water,0,611323,74,86,76,Low,132,763
1162,30,hot,energy,2,179280,64,60,53,Medium,105,535
2469,39,moderate,water,0,404007,64,91,60,Medium,116,602
3277,22,hot,energy,0,359238,50,41,51,High,8531,517
2039,27,hot,materials,1,278187,44,53,86,Medium,999,867
883,37,cold,energy,1,156011,65,67,65,Medium,112,653
1738,49,hot,water,0,358558,62,72,55,Medium,160,558
1381,25,cold,water,2,199700,50,88,57,Medium,12104,570
1467,80,cold,materials,1,517153,65,79,100,Low,231,1000
831,87,cold,energy,1,313395,86,79,88,Low,103,887
2045,32,cold,energy,1,339003,49,64,69,Medium,999,697
997,34,moderate,materials,0,142811,69,77,68,Medium,72,689
805,43,moderate,water,1,150164,68,93,73,Low,99,739
2821,40,moderate,energy,0,432379,64,73,60,Medium,108,606
1095,83,cold,materials,2,410649,73,89,97,Low,156,972
922,69,cold,energy,2,329218,84,84,73,Low,102,739
835,57,moderate,energy,2,217897,86,88,65,Low,70,650
1110,80,hot,materials,1,364481,71,70,99,Low,151,999
377,37,moderate,water,0,52183,71,85,52,Medium,63,523
686,43,hot,energy,1,139878,71,54,66,Medium,93,667
680,60,moderate,energy,0,158695,89,79,63,Low,59,638
2138,65,cold,water,0,575648,57,91,69,Medium,371,692
2000,23,hot,energy,2,245653,54,56,61,Medium,278,615
900,70,hot,materials,2,273675,77,80,89,Low,110,891
1392,43,cold,water,0,244859,63,81,54,Medium,126,543
1149,62,hot,energy,2,342413,82,74,67,Medium,91,675
559,49,cold,materials,2,146873,68,79,74,Medium,143,741
2206,88,cold,energy,1,803095,72,91,92,Low,164,920
722,100,moderate,water,1,252823,91,100,96,Low,84,962
984,82,cold,water,1,362666,69,93,86,Low,185,860
962,48,moderate,water,1,196387,65,96,75,Low,127,751
407,47,moderate,water,1,75236,69,91,71,Low,97,712
961,74,hot,energy,1,274998,85,70,86,Low,80,865
808,32,moderate,water,2,141027,70,99,54,Medium,85,540
381,46,moderate,materials,2,78245,69,87,71,Low,103,712
1956,96,cold,energy,2,819852,79,93,84,Low,144,847
491,42,moderate,energy,0,81793,87,75,54,Medium,44,541
1308,41,hot,materials,0,219505,62,54,71,Medium,131,712
1174,30,cold,water,0,178228,59,76,53,Medium,154,531
444,66,hot,energy,1,116946,81,65,76,Medium,83,768
1240,24,hot,materials,1,140273,53,49,78,Medium,342,782
553,86,moderate,materials,2,209674,88,98,91,Low,97,912
1309,57,cold,water,1,314960,63,90,77,Low,184,774
855,70,moderate,water,0,205101,82,100,66,Low,74,660
360,44,hot,energy,2,75826,71,71,58,Medium,100,588
2003,50,cold,materials,1,472035,52,66,88,Medium,1108,887
1325,82,moderate,energy,1,398685,90,92,92,Low,74,929
1578,69,moderate,materials,2,515360,75,98,89,Low,127,897
633,76,cold,energy,1,205954,83,79,81,Low,95,812
788,22,hot,water,2,94680,50,71,49,Medium,7548,497
2285,26,cold,materials,0,297036,42,63,74,Medium,999,740
690,62,hot,materials,1,187163,73,66,93,Low,116,931
391,49,cold,energy,2,93909,69,74,59,Medium,123,593
779,62,cold,water,1,222889,64,90,75,Low,202,752
921,95,hot,energy,1,345479,92,76,93,Low,88,930
1440,40,cold,energy,2,323113,69,73,62,Medium,114,621
1485,83,cold,energy,0,434140,80,79,82,Low,96,827
1664,73,moderate,water,2,560637,76,100,70,Low,129,702
1515,85,moderate,materials,1,461769,74,93,100,Low,123,1000
908,78,moderate,water,0,232400,87,100,73,Low,69,735
556,88,cold,water,1,199376,77,96,92,Low,132,927
982,50,cold,water,0,209358,76,79,59,Medium,81,590
500,35,cold,energy,0,81008,69,66,48,Medium,82,481
1302,41,moderate,energy,2,264418,78,86,66,Low,70,668
359,74,hot,energy,1,118100,82,68,82,Low,100,822
1133,29,hot,water,0,134292,65,64,56,Medium,75,566
1225,79,cold,materials,0,354076,78,77,90,Low,99,909
880,51,moderate,energy,0,168038,84,78,62,Low,55,623
975,40,hot,water,1,196684,57,75,73,Medium,268,738
1258,27,moderate,water,1,147935,57,83,66,Medium,152,668
520,76,cold,energy,0,143989,91,79,66,Low,66,668
554,30,hot,materials,0,70621,65,53,67,Medium,83,676
1213,31,moderate,energy,2,195956,72,86,58,Medium,71,584
454,64,cold,water,0,125773,74,84,59,Medium,113,598
1196,55,moderate,energy,1,275421,78,81,77,Low,81,779
4311,65,cold,water,2,1460106,39,100,69,Medium,999,697
734,29,cold,water,0,89411,59,79,48,Medium,130,485
